homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-6.044465227,-3.909459862,1.446200063,11.4835325,12.75793014,21.06259239,1.070869239,0.524928049,12.1109237,25.1907213,-102.5324606,126.6714768,2.135005365
-5.65507029,-3.520064925,1.339200059,2.920500104,1.592200006,4.805000001,0.913500124,0.36040447,9.282113128,22.27970705,-94.16400054,118.8483221,2.135005365
-6.277938921,-4.142389328,1.434700063,6.808300018,6.494722337,26.53141636,0.975526255,0.651905901,14.43772707,22.51816047,-107.4809965,130.1616818,2.135549593
-5.993852048,-3.855037089,1.428000062,11.53365513,12.28937456,21.42001784,1.053440755,0.528986355,11.96910667,24.66235872,-101.234772,125.2997421,2.138814959
-6.270591847,-4.129599977,1.437600063,3.386845588,8.940434953,24.01136762,0.89930651,0.644952848,13.97086038,21.27130008,-107.4596612,130.7760131,2.14099187
-6.175079881,-4.031366872,1.455700064,15.07890001,16.0811,24.4207,1.114250529,0.580270022,13.08670019,25.73916416,-105.2778124,129.0302831,2.143713009
-6.004192375,-3.856125545,1.543200067,10.8872679,10.63465006,26.2546707,1.161992398,0.570494332,12.80432114,26.28823454,-100.712057,126.2824212,2.14806683
-6.227597856,-4.069462813,1.446000063,10.58959488,11.24188798,22.19043614,0.917366035,0.443419063,9.945390141,21.25812239,-106.9469864,124.1614408,2.158135043
-6.037934494,-3.878166768,1.566500068,16.42297804,16.05943641,26.20009971,1.204627782,0.52964351,12.14167164,28.3075585,-102.0128831,125.8224571,2.159767726
-6.128820524,-3.954358649,1.498000065,7.184201014,7.790330933,15.4989658,1.162115066,0.609715191,14.18672347,27.67942199,-103.3155918,130.138464,2.174461875
-5.79248779,-3.614488435,1.466100064,10.4854211,10.59248863,20.42201728,1.135160883,0.608275165,11.57503101,25.61679991,-96.59559792,120.410192,2.177999355
-6.270047619,-4.089599239,1.573800069,12.30861121,11.50199464,24.59583203,1.207633905,0.578290394,13.6307505,28.4192551,-105.839433,132.3868287,2.18044838
