homo (eV),lumo (eV),vertical_excitation_energy (eV),zpve_S0 (eV),zpve_S1 (eV),zpve_T1 (eV),total_electronic_energy_S0 (eV),total_electronic_energy_S1 (eV),total_electronic_energy_T1 (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),reduction_potential_S0 (eV),reduction_potential_S1 (eV),reduction_potential_T1 (eV),oxidation_potential_S0 (eV),oxidation_potential_S1 (eV),oxidation_potential_T1 (eV),free_energy_S0,free_energy_AN,free_energy_CAT,free_energy_S1,free_energy_T1,adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol)
-6.610189947,-3.968780684,2.014500088,5.351744967,5.323771662,5.311717018,-37123.11034,,-37121.76607,11.09583707,9.440473381,27.53159716,,1.304246641,-0.317141807,,0.987104834,-1.47497288,,-2.779219521,-1364.10156,-1364.266302,-1363.870959,-1364.039915,-1364.05465,29.43644719,38.6827923,-103.3770877,144.7042029
-7.97783422,-3.815036352,2.698700118,3.194943282,3.096383641,3.114724115,-17495.52763,,-17493.36886,0.864454423,0.557344498,4.249958199,,2.078549058,-0.440218907,,1.638330151,-2.622068867,,-4.700617925,-642.868652,-643.028871,-642.595896,-642.788772,-642.792892,47.54008184,50.12541892,-100.5388645,171.1568448
-8.186001324,-3.941841412,2.75040012,3.522731641,3.448417345,3.432607529,-19568.07225,-19565.53622,-19566.12751,6.744898592,6.279505504,4.121872483,2.461715895,1.85460822,-0.30620283,2.155513065,1.548405391,-2.926101685,-5.387817581,-4.780709906,-719.024104,-719.189248,-718.740175,-718.933355,-718.957659,41.6948355,56.94581424,-103.6293463,178.1680029
-6.19548842,-3.86564953,1.528200067,9.147842194,,9.089609827,-58887.71164,,-58886.89659,6.12111993,,20.26803172,,0.75681287,,,,-0.692563891,,-1.449376761,-2163.805461,,-2163.603613,,-2163.778156,17.13413325,,,126.6614366
-4.860497811,-3.148357389,1.101300048,10.56939222,10.53551405,10.55363683,-36149.91841,,-36149.77711,12.93132954,14.06318738,21.59708195,,0.125543812,-0.917615467,,-0.792071655,,,,-1328.155938,-1328.298613,,-1328.132258,-1328.152654,2.060739556,14.85941312,-89.52984657,
-7.090743028,-3.628094128,2.51630011,5.212068922,5.174381152,5.157618938,-28149.00506,-28146.87993,-28147.64229,3.15445395,3.107221083,4.509448589,2.087444956,1.308324267,-0.631433318,1.456011637,0.676890949,-1.742433595,-3.829878551,-3.050757862,-1034.312806,-1034.465998,-1034.072376,-1034.235229,-1034.265704,29.55692892,48.68026569,-96.12935873,150.8719889
-7.085572865,-4.406067661,1.924200084,4.25588802,4.219424763,4.210526639,-76349.47556,,-76348.5407,6.429700007,6.797400007,13.3772,,0.889504025,0.104199298,,0.993703323,-1.728283674,,-2.6177877,-2805.692143,-2805.872375,-2805.452239,-2805.634888,-2805.658995,20.80066833,35.9280278,-113.0972021,150.5419191
-5.65860777,-3.530949479,1.386700061,9.032438705,,9.006152506,-38543.30212,,-38542.84867,3.868750256,,10.91675417,,0.427161892,-0.732441984,,-0.305280092,-0.417075817,,-0.844237709,-1416.168284,-1416.317764,-1415.97656,,-1416.151533,10.51140326,,-93.80004532,120.3085355
-6.811826319,-3.518160128,2.453100107,5.911265491,5.868026598,5.863373451,-29568.65433,-29566.68636,-29567.26854,5.004586234,7.699804733,5.471642767,1.924733975,1.337900323,-0.739598579,1.185135397,0.598301744,-1.409148536,-3.333882511,-2.747048859,-1086.458343,-1086.60756,-1086.230161,-1086.387962,-1086.409745,30.49568238,44.16471093,-93.63501045,143.1862586
-7.053191315,-4.071911838,2.273000099,4.893995028,4.837667458,4.833939498,-36523.3895,-36521.45712,-36522.17553,6.795523516,6.788574431,16.39119866,1.876047313,1.153906725,-0.236868218,1.639179096,0.917038507,-1.752801133,-3.628848446,-2.906707858,-1342.078803,-1342.246495,-1341.837992,-1342.008238,-1342.03554,27.14792187,44.28017259,-105.2282392,151.1110698
-7.960146819,-4.314637403,2.650100116,3.944181591,3.841159282,3.870928539,-38944.4332,-38942.08705,-38942.81394,5.24569536,5.101253912,4.855139048,2.243122836,1.546004297,0.037232076,2.280354912,1.583236373,-2.56323785,-4.806360686,-4.109242147,-1431.084191,-1431.261956,-1430.813597,-1431.001287,-1431.028214,35.12607129,52.02300614,-111.5491374,169.8001703
-7.130471652,-3.970141253,2.250300098,6.230781588,6.199243592,6.18035889,-48281.70069,-48279.91143,-48280.63692,4.349073976,5.272885723,10.42118898,1.757717453,1.013349847,-0.277440395,1.480277059,0.735909452,-1.669724771,-3.427442225,-2.683074618,-1774.152398,-1774.318599,-1773.91464,-1774.086121,-1774.114463,23.80455392,41.58941399,-104.2926233,149.1952848
-6.188685574,-3.629726811,1.730300076,6.972400709,6.942468184,6.941162038,-44693.4147,,-44692.70492,9.423344672,8.688230419,3.607014648,,0.678533603,-0.637283766,,0.041249837,-0.877574106,,-1.55610771,-1642.25532,-1642.408297,-1642.046673,-1642.205145,-1642.230475,15.5904611,31.48526408,-95.99444429,130.9278703
-7.611024733,-4.466476938,2.155500094,4.835164011,4.806673689,4.771407733,-40587.74489,,-40586.21057,7.642300012,8.99540827,7.787704883,,1.470562361,0.219929323,,1.690491685,-2.161244041,,-3.631806402,-1491.450067,-1491.634546,-1491.194246,-1491.396943,-1491.397956,32.7001215,33.33578812,-115.7622328,160.5299799
